Registry,Assignment,Organization Name,Organization Address
MA-L,FCDF00,"GD Midea Air-Conditioning Equipment Co.,Ltd.","Midea Global Innovation Center,Beijiao Town,Shunde Foshan Guangdong CN 528311 "
MA-L,E8BFDB,Inodesign Group,155 Avenue Georges Hannart CROIX  FR 59170 
MA-L,287E80,"Hui Zhou Gaoshengda Technology Co.,LTD","No.2,Jin-da Road,Huinan Industrial Park Hui Zhou Guangdong CN 516025 "
MA-L,0C9F71,"Dolphin Electronics (DongGuan) Co., Ltd.","Building 3,No.2 Baolong Road, Houjie Town, Dongguan Guangdong CN 523000 "
MA-L,1C8B76,Calix Inc.,2777 Orchard Pkwy San Jose CA US 95131 
MA-L,745889,Multilaser Industrial S.A.,"Rua Josefa Gomes de Souza, 382 Extrema Minas Gerais BR 37640-000 "
MA-L,E8FF98,"Huawei Device Co., Ltd.","No.2 of Xincheng Road, Songshan Lake Zone Dongguan Guangdong CN 523808 "
MA-L,241551,"Huawei Device Co., Ltd.","No.2 of Xincheng Road, Songshan Lake Zone Dongguan Guangdong CN 523808 "
MA-L,58957E,"Huawei Device Co., Ltd.","No.2 of Xincheng Road, Songshan Lake Zone Dongguan Guangdong CN 523808 "
MA-L,2C9452,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
MA-L,6001B1,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
MA-L,B8144D,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,EC28D3,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,5CBBEE,zte corporation,"12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China shenzhen guangdong CN 518057 "
MA-L,086518,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,2C57CE,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,80398C,"Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong Gumi Gyeongbuk KR 730-350 "
MA-L,980D6F,"Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong Gumi Gyeongbuk KR 730-350 "
MA-L,1C90FF,Tuya Smart Inc.,"160 Greentree Drive, Suite 101 Dover DE US 19904 "
MA-L,10823D,"Ruijie Networks Co.,LTD","No. 2, 7th floor, xingwangruijie, haixi hi-tech industrial park, high-tech zone, fuzhou city Fuzhou Fujian CN 350002 "
MA-L,982044,"New H3C Technologies Co., Ltd","466 Changhe Road, Binjiang District Hangzhou Zhejiang CN 310052 "
MA-L,D8A0E8,zte corporation,"12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China shenzhen guangdong CN 518057 "
MA-L,80563C,ZF,Ehlersstraße 50 Friedrichshafen BW DE 88046 
MA-L,A044F3,RafaelMicro,"8F.,No.28,Chenggong 12th St. ChuBei City HsinChu County TW 30264 "
MA-L,F42B7D,"Chipsguide technology CO.,LTD.","No.758 in DongHua Design House, Nan Guang Road, Nan Shan Tone, ShenZhen, Guangdong, China Shenzhen Guangdong CN 518002 "
MA-L,8C5219,SHARP Corporation,"1 Takumi-cho, Sakai-ku Sakai City Osaka JP 590-8522 "
MA-L,2C9E00,Sony Interactive Entertainment Inc.,1-7-1 Konan Minato-ku Tokyo JP 108-0075 
MA-L,DC6AE7,Xiaomi Communications Co Ltd,"#019, 9th Floor, Building 6, 33 Xi'erqi Middle Road Beijing Haidian District CN 100085 "
MA-L,7CA449,Xiaomi Communications Co Ltd,"#019, 9th Floor, Building 6, 33 Xi'erqi Middle Road Beijing Haidian District CN 100085 "
MA-L,D0066A,"Cornelis Networks, Inc.","1500 Liberty Ridge Drive, Suite 100 Wayne PA US 19087 "
MA-L,883CC5,IEEE Registration Authority,445 Hoes Lane Piscataway NJ US 08554 
MA-L,C404D8,Aviva Links Inc.,160 E Tasman Dr STE 102 SAN JOSE CA US 95134 
MA-L,AC965B,Lucid Motors,7373 Gateway Blvd Newark CA US 94560 
MA-L,089115,Amazon Technologies Inc.,P.O Box 8102  Reno NV US 89507 
MA-L,74D423,Amazon Technologies Inc.,P.O Box 8102  Reno NV US 89507 
